model,context_used,dataset,dataset_version,f1,em,total_energy_kWh,inference_energy_kWh,retrieval_energy_kWh,total_emissions_kg,inference_emissions_kg,retrieval_emissions_kg,total_time_s,total_time
DeepSeek-r1 14B (RAG),True,BoolQ,128,0.859375,0.859375,0.001572,0.001565,0.000007,0.000462,0.000460,0.000002,5.776518,"(0, 12, 19)"
DeepSeek-r1 14B (Base),False,BoolQ,128,0.718750,0.718750,0.001663,0.001663,0.000000,0.000488,0.000488,0.000000,119.351824,"(4, 14, 37)"
DeepSeek-r1 32B (Base),False,BoolQ,128,0.671875,0.671875,0.001690,0.001690,0.000000,0.000496,0.000496,0.000000,93.833055,"(3, 20, 10)"
DeepSeek-r1 7B (RAG),True,BoolQ,128,0.742188,0.742188,0.001048,0.001038,0.000009,0.000308,0.000305,0.000003,3.848648,"(0, 8, 12)"
DeepSeek-r1 7B (Base),False,BoolQ,128,0.679688,0.679688,0.000199,0.000199,0.000000,0.000058,0.000058,0.000000,0.729591,"(0, 1, 33)"
DeepSeek-r1 8B (RAG),True,BoolQ,128,0.804688,0.804688,0.000875,0.000868,0.000007,0.000257,0.000255,0.000002,3.215132,"(0, 6, 51)"
deepseek-r1-8b_q+r_funny,False,BoolQ,128,0.789474,0.789474,0.035867,0.035856,0.000011,0.010531,0.010528,0.000003,131.760463,"(2, 46, 53)"
deepseek-r1-8b_q+r_lab,False,BoolQ,128,0.609375,0.609375,0.005032,0.004985,0.000047,0.001478,0.001464,0.000014,364.350810,"(12, 57, 16)"
DeepSeek-r1 8B (Base),False,BoolQ,128,0.679688,0.679688,0.000289,0.000289,0.000000,0.000085,0.000085,0.000000,1.060927,"(0, 2, 15)"
deepseek-r1-8b_q_lab,False,BoolQ,128,0.671875,0.671875,0.000801,0.000801,0.000000,0.000226,0.000226,0.000000,58.620141,"(2, 5, 3)"
